n° de ligne,nature,n°/id,"forme ""diplo""",forme modernisée,forme corrigée,lemme,pos,à scinder,à fusionner avec w n°,à corriger,corrigé
1813,w,1813,,en,,EN,Pp,,,,
1814,w,1814,,yra,,ALLER,Vvc,,,,
1815,w,1815,,avant,,AVANT,S,,,,
1816,w,1816,,en,,EN,S,,,,
1817,w,1817,,l,,IL,Pp,,,,
1818,w,1818,,',,',Fw,,,,
1819,w,1819,,acordance,,ACCORDANCE,Nc,,,,
1820,w,1820,,dudit,,DE+LEDIT,S+Dd,,,,
1821,w,1821,,jugement,,JUGEMENT,Nc,,,,
1822,w,1822,,par,,PAR,S,,,,
1823,w,1823,,l,,LE,Da,,,,
1824,w,1824,,',,',Fw,,,,
1825,w,1825,,escroe,,ÉCROU,Nc,,,,
1826,w,1826,,baillée,,BAILLER,Ge,,,,
1827,w,1827,,o,,OU,Cc,,,,
1828,w,1828,,discrepcion,,DISCRÉTION,Nc,,,,
1829,w,1829,,de,,DE,S,,,,
1830,w,1830,,justice,,JUSTICE,Nc,,,,
1831,w,1831,,.,,.,Fs,,,,
1832,w,1832,,Et,,ET,Cc,,,,
1833,w,1833,,est,,ÊTRE,Vuc,,,,
1834,w,1834,,assavoir,,ASSAVOIR,Vvn,,,,
1835,w,1835,,que,,QUE,Cs,,,,
1836,w,1836,,",",,",",Fw,,,,
1837,w,1837,,tant,,TANT,Rg,,,,
1838,w,1838,,comme,,COMME,Cs,,,,
1839,w,1839,,les,,LE,Da,,,,
1840,w,1840,,parties,,PARTIE,Nc,,,,
1841,w,1841,,deffauldront,,DÉFAILLIR,Vvc,,,,
1842,w,1842,,de,,DE,S,,,,
1843,w,1843,,bailler,,BAILLER,Vvn,,,,
1844,w,1844,,leurs,,LEUR,Ds,,,,
1845,w,1845,,escroes,,ESCROUE,Nc,,,,
1846,w,1846,,",",,",",Fw,,,,
1847,w,1847,,ou,,OU,Cc,,,,
1848,w,1848,,aucunes,,AUCUN,Pi,,,,
1849,w,1849,,d,,DE,S,,,,
1850,w,1850,,',,',Fw,,,,
1851,w,1851,,icelles,,ICELUI,Pd,,,,
1852,w,1852,,",",,",",Fw,,,,
1853,w,1853,,tant,,TANT,Rg,,,,
1854,w,1854,,de,,DE,S,,,,
1855,w,1855,,foys,,FOIS,Nc,,,,
1856,w,1856,,l,,IL,Pp,,,,
1857,w,1857,,',,',Fw,,,,
1858,w,1858,,amenderont,,AMENDER,Vvc,,,,
1859,w,1859,,",",,",",Fw,,,,
1860,w,1860,,sauf,,SAUF,S,,,,
1861,w,1861,,que,,QUE,Cs,,,,
1862,w,1862,,ou,,OU,Cc,,,,
1863,w,1863,,cas,,CAS,Nc,,,,
1864,w,1864,,ou,,OU,Cc,,,,
1865,w,1865,,trop,,TROP,Rg,,,,
1866,w,1866,,chacune,,CHACUN,Pi,,,,
1867,w,1867,,desdictes,,DE+LEDIT,S+Dd,,,,
1868,w,1868,,parties,,PARTIE,Nc,,,,
1869,w,1869,,seront,,ÊTRE,Vuc,,,,
1870,w,1870,,delaiant,,DÉLAYER,Ga,,,,
1871,w,1871,,de,,DE,S,,,,
1872,w,1872,,bailler,,BAILLER,Vvn,,,,
1873,w,1873,,",",,",",Fw,,,,
1874,w,1874,,ils,,ILS,Pp,,,,
1875,w,1875,,seront,,ÊTRE,Vuc,,,,
1876,w,1876,,mis,,METTRE,Ge,,,,
1877,w,1877,,en,,EN,S,,,,
1878,w,1878,,amende,,AMENDE,Nc,,,,
1879,w,1879,,",",,",",Fw,,,,
1880,w,1880,,comme,,COMME,Cs,,,,
1881,w,1881,,en,,EN,S,,,,
1882,w,1882,,icelle,,ICELUI,Pd,,,,
1883,w,1883,,ordonnance,,ORDONNANCE,Nc,,,,
1884,w,1884,,d,,DE,S,,,,
1885,w,1885,,',,',Fw,,,,
1886,w,1886,,eschiquier,,ÉCHIQUIER,Nc,,,,
1887,w,1887,,est,,ÊTRE,Vuc,,,,
1888,w,1888,,plus,,PLUS,Rg,,,,
1889,w,1889,,a,,AVOIR,Vuc,,,,
1890,w,1890,,plain,,PLEIN,Ag,,,,
1891,w,1891,,contenu,,CONTENIR,Ge,,,,
1892,w,1892,,.,,.,Fs,,,,
1893,w,1893,,Item,,ITEM,Rg,,,,
1894,w,1894,,",",,",",Fw,,,,
1895,w,1895,,et,,ET,Cc,,,,
1896,w,1896,,supposé,,SUPPOSER,Ge,,,,
1897,w,1897,,que,,QUE,Cs,,,,
1898,w,1898,,tous,,TOUT,Di,,,,
1899,w,1899,,les,,LE,Da,,,,
1900,w,1900,,assistens,,ASSISTANT,Nc,,,,
1901,w,1901,,fussent,,ÊTRE,Vuc,,,,
1902,w,1902,,a,,AVOIR,Vuc,,,,
1903,w,1903,,acort,,ACCORD,Nc,,,,
1904,w,1904,,et,,ET,Cc,,,,
1905,w,1905,,jugassent,,JUGER,Vvc,,,,
1906,w,1906,,en,,EN,S,,,,
